,price,Address,area,Bedrooms,Bathrooms
0,5600000.0,"Noida Extension, Noida, Delhi NCR",1350.0,3.0,3.0
1,8800000.0,"Sector 79, Gurgaon, Delhi NCR",1490.0,3.0,3.0
2,16500000.0,"Vaishali, Ghaziabad, Delhi NCR",2385.0,4.0,5.0
3,3810000.0,other,1050.0,2.0,2.0
4,6200000.0,other,1350.0,2.0,2.0
5,3700000.0,other,1150.0,2.0,2.0
6,3270000.0000000005,other,890.0,2.0,2.0
7,3990000.0,other,850.0,2.0,2.0
8,3500000.0,other,960.0,2.0,2.0
9,5500000.0,other,1400.0,3.0,3.0
10,7300000.0,other,850.0,3.0,2.0
11,7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250.0,2.0,2.0
12,10500000.0,other,1615.0,3.0,3.0
13,7200000.0,other,1200.0,2.0,2.0
14,7000000.0,other,1690.0,3.0,3.0
15,9500000.0,other,1000.0,3.0,2.0
16,15000000.0,other,1450.0,4.0,3.0
17,4800000.0,"Noida Extension, Noida, Delhi NCR",1175.0,2.0,2.0
18,5100000.0,other,1087.0,2.0,2.0
19,14000000.0,other,1845.0,3.0,3.0
20,6250000.0,"Sector 37C, Gurgaon, Delhi NCR",1400.0,2.0,2.0
21,8700000.0,other,1600.0,3.0,2.0
22,13000000.0,other,1950.0,3.0,3.0
23,15000000.0,other,1800.0,2.0,3.0
24,5500000.0,other,1440.0,3.0,2.0
25,4200000.0,"Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1040.0,2.0,2.0
26,3900000.0,other,1025.0,2.0,2.0
27,10000000.0,other,1836.0,3.0,2.0
28,7600000.0,other,1350.0,3.0,2.0
29,3900000.0,other,800.0,2.0,2.0
30,9000000.0,other,1481.0,2.0,2.0
31,8350000.0,other,1398.0,2.0,2.0
32,13500000.0,other,2150.0,3.0,3.0
33,5310000.0,"Shakti Khand 2, Ghaziabad, Delhi NCR",1100.0,3.0,2.0
34,15000000.0,"Sector 68, Gurgaon, Delhi NCR",1960.0,3.0,3.0
35,17500000.0,other,2450.0,3.0,3.0
36,5000000.0,other,1000.0,2.0,2.0
37,3500000.0,other,850.0,2.0,2.0
38,4550000.0,other,950.0,3.0,2.0
39,4000000.0,other,700.0,2.0,2.0
40,3500000.0,other,750.0,2.0,2.0
